ActivityID,LeadID,OpportunityID,AccountID,UserID,ActivityType,ActivityDate,Status
ACT000138,LEAD013993,OPP05693,ACC01647,USR0072,Call,2022-10-20,Cancelled
ACT000139,LEAD029017,OPP11886,ACC04575,USR0134,Follow-up,2024-05-29,Scheduled
ACT000140,LEAD040375,,ACC02094,USR0024,Call,2023-02-28,Completed
ACT000141,LEAD017763,,ACC03212,USR0103,Call,2024-02-28,Completed
ACT000142,LEAD041681,,ACC00074,USR0024,Follow-up,2023-07-21,Completed
ACT000143,LEAD010500,OPP04303,ACC00587,USR0191,Meeting,2023-12-09,Cancelled
ACT000144,LEAD046710,,ACC04759,USR0072,Meeting,2023-11-17,Completed
ACT000145,LEAD034051,OPP13939,ACC03277,USR0103,Meeting,2023-11-02,Cancelled
ACT000146,LEAD012809,,ACC01337,USR0134,Meeting,2023-10-16,Completed
ACT000147,LEAD056813,OPP23209,ACC02836,USR0024,Demo,2025-07-31,Scheduled
ACT000148,LEAD024042,OPP09795,ACC02198,USR0113,Call,2022-04-30,Scheduled
ACT000149,LEAD004158,,ACC03335,USR0103,Email,2024-08-01,Cancelled
ACT000150,LEAD050554,,ACC02174,USR0134,Email,2023-02-28,Cancelled
ACT000151,LEAD053034,,ACC00391,USR0134,Follow-up,2023-07-04,Cancelled
ACT000152,LEAD011318,,ACC01397,USR0191,Follow-up,2023-01-23,Completed
ACT000153,LEAD038613,OPP15750,ACC01353,USR0134,Call,2023-04-23,Cancelled
ACT000154,LEAD015732,,ACC01893,USR0024,Email,2022-10-22,Cancelled
ACT000155,LEAD006344,OPP02579,ACC03594,USR0068,Meeting,2022-07-15,Cancelled
ACT000156,LEAD005045,OPP02066,ACC01230,USR0039,Email,2023-08-27,Scheduled
ACT000157,LEAD005942,,ACC04244,USR0103,Call,2024-11-26,Scheduled
ACT000158,LEAD039377,,ACC01886,USR0103,Call,2022-12-30,Scheduled
ACT000159,LEAD008522,OPP03426,ACC00236,USR0024,Email,2022-07-21,Cancelled
ACT000160,LEAD005249,OPP02151,ACC00122,USR0039,Meeting,2023-09-01,Cancelled
ACT000161,LEAD022908,,ACC03077,USR0024,Demo,2024-02-03,Cancelled
ACT000162,LEAD010271,OPP04203,ACC01656,USR0134,Email,2022-11-14,Completed
ACT000163,LEAD054912,OPP22461,ACC02217,USR0103,Email,2024-03-23,Completed
ACT000164,LEAD009462,OPP03826,ACC02584,USR0039,Demo,2024-08-25,Completed
ACT000165,LEAD012773,OPP05202,ACC01253,USR0115,Meeting,2023-10-29,Scheduled
ACT000166,LEAD042298,,ACC04862,USR0191,Email,2022-08-27,Scheduled
ACT000167,LEAD006799,,ACC04052,USR0024,Call,2024-01-27,Scheduled
ACT000168,LEAD005785,,ACC03414,USR0072,Call,2025-01-08,Scheduled
ACT000169,LEAD051122,,ACC01222,USR0068,Email,2024-05-22,Scheduled
ACT000170,LEAD009468,,ACC04378,USR0039,Meeting,2024-09-21,Completed
ACT000171,LEAD013685,,ACC01993,USR0134,Call,2022-11-11,Cancelled
ACT000172,LEAD047084,OPP19273,ACC03664,USR0068,Demo,2023-03-05,Scheduled
ACT000173,LEAD010356,,ACC04976,USR0024,Call,2022-11-27,Scheduled
ACT000174,LEAD056868,OPP23236,ACC03629,USR0191,Follow-up,2023-01-28,Scheduled
ACT000175,LEAD059888,,ACC01685,USR0115,Follow-up,2024-06-14,Scheduled
ACT000176,LEAD049247,,ACC02947,USR0191,Call,2024-04-21,Scheduled
ACT000177,LEAD007989,,ACC00057,USR0191,Follow-up,2022-09-28,Scheduled
ACT000178,LEAD000835,OPP00343,ACC01024,USR0191,Call,2024-11-11,Cancelled
ACT000179,LEAD033222,OPP13583,ACC02410,USR0068,Meeting,2025-04-15,Cancelled
ACT000180,LEAD042414,,ACC02156,USR0068,Meeting,2022-09-07,Scheduled
ACT000181,LEAD017915,OPP07297,ACC04673,USR0103,Follow-up,2024-02-07,Completed
ACT000182,LEAD016291,,ACC02392,USR0103,Follow-up,2023-10-08,Completed
ACT000183,LEAD034103,,ACC02186,USR0039,Call,2023-10-21,Cancelled
ACT000184,LEAD015169,,ACC00354,USR0134,Call,2024-02-21,Cancelled
ACT000185,LEAD045510,OPP18590,ACC00006,USR0115,Follow-up,2023-03-07,Cancelled
ACT000186,LEAD041614,,ACC02842,USR0103,Email,2023-09-17,Scheduled
ACT000187,LEAD041790,OPP17073,ACC02476,USR0113,Call,2022-09-20,Cancelled
ACT000188,LEAD030613,,ACC00487,USR0068,Meeting,2025-04-14,Cancelled
ACT000189,LEAD049598,,ACC04428,USR0115,Call,2024-06-03,Cancelled
ACT000190,LEAD050030,,ACC03567,USR0068,Meeting,2024-06-12,Cancelled
ACT000191,LEAD057776,OPP23596,ACC03536,USR0191,Demo,2023-09-08,Scheduled
ACT000192,LEAD044062,OPP17989,ACC01321,USR0103,Meeting,2022-07-09,Cancelled
ACT000193,LEAD000545,OPP00212,ACC00469,USR0191,Email,2024-06-25,Scheduled
ACT000194,LEAD026655,,ACC03586,USR0134,Demo,2023-09-27,Cancelled
ACT000195,LEAD013177,OPP05351,ACC01998,USR0072,Email,2025-01-20,Cancelled
ACT000196,LEAD029705,OPP12173,ACC04404,USR0068,Meeting,2022-05-15,Scheduled
ACT000197,LEAD060857,,ACC01424,USR0134,Call,2023-03-19,Scheduled
ACT000198,LEAD025136,,ACC03519,USR0103,Email,2024-05-05,Scheduled
ACT000199,LEAD007290,OPP02946,ACC02838,USR0191,Follow-up,2022-12-15,Cancelled
ACT000200,LEAD008996,OPP03649,ACC00852,USR0134,Meeting,2025-03-27,Scheduled
ACT000201,LEAD033366,,ACC00327,USR0039,Demo,2025-05-20,Cancelled
ACT000202,LEAD056288,,ACC00474,USR0024,Follow-up,2023-03-24,Scheduled
ACT000203,LEAD011498,,ACC03783,USR0191,Email,2024-06-12,Cancelled
ACT000204,LEAD013069,,ACC02191,USR0115,Meeting,2025-02-23,Cancelled
ACT000205,LEAD016684,,ACC01336,USR0068,Follow-up,2024-01-07,Scheduled
ACT000206,LEAD009067,,ACC01522,USR0024,Email,2025-02-18,Cancelled
ACT000207,LEAD026966,OPP11016,ACC01524,USR0191,Email,2023-09-11,Completed
ACT000208,LEAD032544,OPP13296,ACC02265,USR0191,Call,2023-06-20,Completed
ACT000209,LEAD035896,OPP14659,ACC00272,USR0072,Demo,2023-05-30,Cancelled
ACT000210,LEAD004490,,ACC00239,USR0072,Call,2023-08-18,Scheduled
ACT000211,LEAD053584,OPP21913,ACC03294,USR0191,Follow-up,2022-04-03,Completed
ACT000212,LEAD018274,OPP07443,ACC01487,USR0024,Demo,2023-01-01,Scheduled
ACT000213,LEAD035604,,ACC01849,USR0024,Email,2022-11-24,Completed
ACT000214,LEAD033437,,ACC00646,USR0039,Call,2025-04-23,Completed
ACT000215,LEAD008992,OPP03648,ACC01192,USR0115,Demo,2025-02-28,Completed
ACT000216,LEAD036692,,ACC02742,USR0113,Follow-up,2025-06-06,Scheduled
ACT000217,LEAD044118,OPP18015,ACC03717,USR0191,Follow-up,2022-06-17,Completed
ACT000218,LEAD025583,OPP10446,ACC02669,USR0113,Call,2025-02-14,Scheduled
ACT000219,LEAD000326,OPP00133,ACC04559,USR0072,Demo,2022-09-20,Cancelled
ACT000220,LEAD009714,,ACC00265,USR0024,Follow-up,2022-06-24,Cancelled
ACT000221,LEAD034421,,ACC02620,USR0191,Demo,2024-01-09,Cancelled
ACT000222,LEAD027997,,ACC03915,USR0115,Follow-up,2024-08-23,Scheduled
ACT000223,LEAD005101,OPP02087,ACC04178,USR0191,Follow-up,2023-08-03,Scheduled
ACT000224,LEAD017902,OPP07293,ACC01132,USR0134,Email,2024-02-22,Cancelled
ACT000225,LEAD027417,,ACC00082,USR0039,Demo,2023-01-06,Scheduled
ACT000226,LEAD003110,,ACC04185,USR0068,Email,2024-03-30,Cancelled
ACT000227,LEAD036200,,ACC02717,USR0024,Follow-up,2023-11-16,Scheduled
ACT000228,LEAD028331,OPP11591,ACC03068,USR0115,Email,2024-09-16,Scheduled
ACT000229,LEAD054800,,ACC00083,USR0068,Call,2024-05-03,Cancelled
ACT000230,LEAD031206,,ACC02317,USR0024,Email,2024-06-15,Scheduled
ACT000231,LEAD001221,OPP00496,ACC00306,USR0072,Meeting,2024-08-07,Cancelled
ACT000232,LEAD037958,OPP15491,ACC00111,USR0113,Email,2024-11-15,Completed
ACT000233,LEAD023053,,ACC00445,USR0024,Demo,2024-01-31,Cancelled
ACT000234,LEAD023783,,ACC02399,USR0024,Email,2024-01-08,Completed
ACT000235,LEAD040281,,ACC03441,USR0191,Demo,2023-02-19,Scheduled
ACT000236,LEAD017740,,ACC02132,USR0024,Demo,2024-02-23,Scheduled
ACT000237,LEAD020547,,ACC02401,USR0068,Email,2024-12-01,Scheduled
ACT000238,LEAD040184,,ACC02031,USR0113,Follow-up,2023-02-22,Cancelled
ACT000239,LEAD026860,,ACC03736,USR0113,Follow-up,2023-07-01,Scheduled
ACT000240,LEAD005149,OPP02109,ACC03542,USR0113,Call,2023-09-05,Scheduled
ACT000241,LEAD059982,,ACC03853,USR0115,Demo,2022-09-22,Scheduled
ACT000242,LEAD025371,,ACC02681,USR0191,Follow-up,2024-12-22,Cancelled
ACT000243,LEAD038144,,ACC02608,USR0103,Email,2024-11-02,Scheduled
ACT000244,LEAD037527,,ACC02734,USR0068,Meeting,2023-12-20,Scheduled
ACT000245,LEAD026105,OPP10659,ACC03165,USR0113,Call,2025-03-11,Scheduled
ACT000246,LEAD014258,,ACC02716,USR0072,Demo,2024-01-08,Cancelled
ACT000247,LEAD016725,,ACC01120,USR0103,Demo,2022-12-20,Completed
ACT000248,LEAD027000,,ACC03125,USR0039,Follow-up,2023-09-07,Completed
ACT000249,LEAD049986,,ACC02507,USR0039,Demo,2024-04-19,Cancelled
ACT000250,LEAD011426,,ACC01928,USR0113,Call,2023-02-10,Completed
ACT000251,LEAD038896,,ACC01959,USR0039,Demo,2023-02-25,Completed
ACT000252,LEAD050630,OPP20710,ACC04080,USR0068,Demo,2023-01-21,Completed
ACT000253,LEAD004822,,ACC02046,USR0039,Meeting,2023-08-23,Scheduled
ACT000254,LEAD024623,OPP10028,ACC03446,USR0191,Email,2022-07-09,Scheduled
ACT000255,LEAD058329,,ACC03682,USR0068,Meeting,2023-05-11,Scheduled
ACT000256,LEAD012946,,ACC00284,USR0134,Demo,2023-11-10,Scheduled
ACT000257,LEAD024964,OPP10174,ACC04944,USR0113,Call,2024-05-10,Scheduled
ACT000258,LEAD060131,,ACC01101,USR0134,Follow-up,2022-08-10,Completed
ACT000259,LEAD011601,,ACC04103,USR0191,Email,2024-05-13,Cancelled
ACT000260,LEAD052539,OPP21526,ACC01326,USR0024,Call,2023-10-25,Completed
ACT000261,LEAD040903,OPP16694,ACC00120,USR0039,Email,2023-01-28,Completed
ACT000262,LEAD031893,OPP13044,ACC00636,USR0191,Email,2022-10-27,Completed
ACT000263,LEAD007338,,ACC01534,USR0115,Demo,2022-08-11,Cancelled
ACT000264,LEAD023643,OPP09627,ACC03057,USR0024,Follow-up,2023-12-19,Completed
ACT000265,LEAD009861,,ACC02402,USR0134,Meeting,2024-11-07,Scheduled
ACT000266,LEAD029233,,ACC02460,USR0068,Follow-up,2024-06-04,Cancelled
ACT000267,LEAD023466,,ACC03769,USR0113,Call,2023-12-29,Completed
ACT000268,LEAD059343,OPP24259,ACC00444,USR0039,Call,2024-07-30,Cancelled
ACT000269,LEAD052559,OPP21534,ACC02161,USR0068,Meeting,2023-09-22,Cancelled
ACT000270,LEAD049629,,ACC00034,USR0024,Demo,2024-04-20,Scheduled
ACT000271,LEAD015067,,ACC04481,USR0191,Email,2024-02-22,Completed
ACT000272,LEAD003844,OPP01575,ACC00773,USR0115,Email,2024-10-16,Completed
ACT000273,LEAD046319,,ACC04666,USR0072,Meeting,2022-06-24,Cancelled
ACT000274,LEAD035520,,ACC03722,USR0191,Call,2023-04-17,Cancelled
ACT000275,LEAD039050,,ACC04551,USR0191,Call,2023-02-21,Scheduled
ACT000276,LEAD044680,,ACC00092,USR0115,Demo,2025-09-05,Cancelled
ACT000277,LEAD017322,OPP07055,ACC04673,USR0115,Call,2023-01-29,Cancelled
ACT000278,LEAD006048,OPP02468,ACC04966,USR0068,Meeting,2024-12-06,Completed
ACT000279,LEAD047847,,ACC01859,USR0103,Demo,2023-07-31,Scheduled
ACT000280,LEAD005208,,ACC01273,USR0113,Demo,2023-07-09,Scheduled
ACT000281,LEAD049023,,ACC03688,USR0134,Demo,2024-05-21,Cancelled
ACT000282,LEAD030285,,ACC04313,USR0068,Demo,2025-03-25,Completed
ACT000283,LEAD008759,,ACC02394,USR0115,Follow-up,2025-03-22,Cancelled
ACT000284,LEAD031804,,ACC01000,USR0134,Follow-up,2022-07-04,Cancelled
ACT000285,LEAD039108,,ACC01151,USR0068,Demo,2023-02-17,Scheduled
ACT000286,LEAD034347,,ACC01460,USR0024,Follow-up,2023-12-19,Scheduled
ACT000287,LEAD052785,,ACC02226,USR0072,Email,2023-06-02,Completed
ACT000288,LEAD013389,,ACC03325,USR0024,Demo,2025-01-06,Completed
ACT000289,LEAD032231,,ACC00414,USR0134,Demo,2022-08-03,Cancelled
ACT000290,LEAD004570,,ACC04167,USR0191,Demo,2023-08-20,Scheduled
ACT000291,LEAD051395,,ACC03645,USR0134,Demo,2024-05-04,Scheduled
ACT000292,LEAD053279,,ACC04703,USR0072,Demo,2023-10-16,Completed
ACT000293,LEAD028770,OPP11782,ACC01135,USR0134,Meeting,2024-09-25,Scheduled
ACT000294,LEAD017499,,ACC04471,USR0024,Follow-up,2023-02-22,Cancelled
ACT000295,LEAD025349,,ACC04109,USR0113,Meeting,2025-01-20,Cancelled
ACT000296,LEAD034334,OPP14052,ACC01718,USR0103,Follow-up,2023-12-08,Completed
ACT000297,LEAD001945,OPP00808,ACC00888,USR0039,Email,2024-12-04,Cancelled
ACT000298,LEAD020779,,ACC01701,USR0115,Demo,2025-01-22,Cancelled
ACT000299,LEAD045364,,ACC00901,USR0068,Email,2023-07-30,Cancelled
ACT000300,LEAD034236,OPP14013,ACC02612,USR0134,Demo,2024-01-17,Scheduled
ACT000301,LEAD033172,,ACC04255,USR0103,Call,2025-05-27,Completed
ACT000302,LEAD018855,,ACC00203,USR0134,Email,2023-07-10,Scheduled
ACT000303,LEAD046901,OPP19202,ACC03968,USR0039,Email,2023-09-16,Scheduled
ACT000304,LEAD045208,OPP18470,ACC01636,USR0115,Follow-up,2023-03-22,Scheduled
ACT000305,LEAD008184,,ACC03272,USR0113,Follow-up,2024-03-24,Cancelled
ACT000306,LEAD042017,,ACC04231,USR0103,Demo,2022-07-22,Cancelled
ACT000307,LEAD019765,,ACC03460,USR0072,Meeting,2024-09-06,Scheduled
ACT000308,LEAD000075,,ACC00848,USR0103,Demo,2022-09-22,Scheduled
ACT000309,LEAD011950,,ACC00906,USR0103,Meeting,2024-05-28,Completed
ACT000310,LEAD013342,,ACC01601,USR0039,Email,2025-01-28,Scheduled
ACT000311,LEAD043553,,ACC01370,USR0191,Follow-up,2023-05-21,Cancelled
ACT000312,LEAD022725,,ACC00987,USR0072,Email,2023-12-21,Completed
ACT000313,LEAD009717,OPP03941,ACC00742,USR0191,Demo,2022-06-27,Scheduled
ACT000314,LEAD020855,OPP08487,ACC00486,USR0072,Follow-up,2024-12-13,Cancelled
ACT000315,LEAD020572,,ACC02454,USR0068,Meeting,2025-01-17,Completed
ACT000316,LEAD045089,,ACC01816,USR0115,Email,2025-06-24,Scheduled
ACT000317,LEAD059953,OPP24494,ACC03998,USR0113,Meeting,2022-09-15,Completed
ACT000318,LEAD016840,,ACC01338,USR0191,Call,2023-02-25,Cancelled
ACT000319,LEAD002888,OPP01196,ACC03074,USR0024,Email,2023-06-07,Scheduled
ACT000320,LEAD013714,OPP05582,ACC02483,USR0115,Call,2022-12-24,Cancelled
