AccountID,AccountName,Industry,Country,City,Employees,AnnualRevenue,AssignedSalesRepID,CreatedDate,Status
ACC00048,Global Systems 48,Telecom,UK,London,3044,41224892,USR0134,2020-08-29,Active
ACC00049,Next Technologies 49,Retail,Canada,Vancouver,346,3412252,USR0024,2021-05-10,Active
ACC00050,Prime Corporation 50,Finance,UK,Manchester,1286,10131108,USR0068,2020-10-27,Active
ACC00051,Smart Technologies 51,Manufacturing,India,Bangalore,3392,50795200,USR0039,2021-10-13,Active
ACC00052,Vertex Solutions 52,Logistics,Germany,Berlin,3875,29620500,USR0068,2021-03-28,Active
ACC00053,Dynamic Industries 53,Telecom,India,Mumbai,213,3155169,USR0072,2021-03-02,Active
ACC00054,United Industries 54,Telecom,USA,Dallas,2896,42020960,USR0024,2024-09-17,Active
ACC00055,Infinity Corporation 55,Software,USA,New York,2159,14951075,USR0191,2021-12-23,Active
ACC00056,Prime Group 56,Healthcare,Germany,Munich,2589,28864761,USR0191,2024-09-25,Active
ACC00057,Elite Group 57,Insurance,India,Bangalore,383,4268152,USR0103,2019-01-07,Active
ACC00058,Infinity Software 58,Automotive,Canada,Vancouver,593,8825026,USR0103,2022-09-14,Active
ACC00059,United Solutions 59,Education,Canada,Montreal,2553,38106078,USR0115,2023-07-31,Active
ACC00060,Elite Industries 60,Finance,UK,London,1591,17322808,USR0068,2023-04-02,Active
ACC00061,Fusion Group 61,Manufacturing,Canada,Vancouver,4508,18059048,USR0134,2022-05-29,Active
ACC00062,Vision Enterprises 62,Logistics,UK,Birmingham,2659,30892262,USR0068,2023-12-15,Active
ACC00063,Vision Consulting 63,Manufacturing,Germany,Hamburg,1410,20859540,USR0068,2019-12-14,Active
ACC00064,Cloud Group 64,Retail,Canada,Toronto,1944,17661240,USR0072,2021-07-09,Active
ACC00065,Next Technologies 65,Logistics,USA,Chicago,3912,54826680,USR0072,2019-10-26,Active
ACC00066,Smart Group 66,Finance,India,Hyderabad,4069,42915743,USR0068,2021-09-26,Active
ACC00067,Apex Solutions 67,Software,Germany,Berlin,1460,18229560,USR0039,2024-03-17,Active
ACC00068,Infinity Software 68,Insurance,USA,Seattle,1112,12912544,USR0024,2024-12-15,Active
ACC00069,Fusion Corporation 69,Finance,Germany,Hamburg,4155,45667605,USR0191,2024-01-01,Active
ACC00070,Digital Networks 70,Retail,Canada,Toronto,2291,28729140,USR0103,2024-06-07,Active
ACC00071,Future Networks 71,Education,USA,Dallas,1940,16394940,USR0068,2022-10-07,Active
ACC00072,Infinity Solutions 72,Retail,India,Mumbai,1914,19666350,USR0072,2020-09-17,Active
ACC00073,Global Enterprises 73,Software,Germany,Munich,4465,51941345,USR0068,2023-08-31,Active
ACC00074,Vision Enterprises 74,Logistics,Germany,Hamburg,180,2417760,USR0191,2023-04-08,Active
ACC00075,Apex Corporation 75,Logistics,Canada,Vancouver,3452,44247736,USR0103,2021-06-22,Active
ACC00076,Quantum Industries 76,Telecom,Germany,Munich,257,2665347,USR0103,2022-10-08,Active
ACC00077,Vertex Networks 77,Automotive,India,Chennai,4395,19518195,USR0113,2023-06-02,Active
ACC00078,Rapid Technologies 78,Software,USA,Seattle,1131,13078884,USR0113,2021-01-14,Active
ACC00079,Future Enterprises 79,Telecom,Canada,Toronto,3744,35025120,USR0191,2022-10-14,Active
ACC00080,Future Enterprises 80,Education,Canada,Toronto,3872,16715424,USR0191,2019-08-02,Active
ACC00081,Quantum Solutions 81,Automotive,USA,New York,2045,14858970,USR0072,2019-03-25,Active
ACC00082,Next Software 82,Logistics,India,Hyderabad,957,12670680,USR0191,2021-06-11,Active
ACC00083,Future Corporation 83,Manufacturing,India,Chennai,4994,29344744,USR0103,2020-11-01,Active
ACC00084,Prime Group 84,Retail,USA,Dallas,4736,48065664,USR0024,2023-06-13,Active
ACC00085,Global Group 85,Automotive,India,Pune,2490,34454130,USR0103,2020-05-10,Active
ACC00086,Blue Corporation 86,Education,UK,Manchester,3055,15669095,USR0039,2024-09-03,Active
ACC00087,Apex Enterprises 87,Finance,Germany,Berlin,3571,35474314,USR0068,2024-02-27,Active
ACC00088,Smart Systems 88,Logistics,UK,Birmingham,2232,31451112,USR0115,2024-06-03,Active
ACC00089,Smart Group 89,Logistics,Canada,Vancouver,2031,11005989,USR0115,2022-02-16,Active
ACC00090,Quantum Networks 90,Logistics,UK,Birmingham,3124,29712364,USR0113,2019-04-28,Active
ACC00091,United Systems 91,Manufacturing,Germany,Berlin,2926,24086832,USR0113,2022-10-26,Active
ACC00092,Fusion Industries 92,Retail,UK,London,4252,30316760,USR0024,2019-12-17,Active
ACC00093,Smart Networks 93,Logistics,UK,London,3920,57161440,USR0068,2024-07-03,Active
ACC00094,Apex Solutions 94,Automotive,Canada,Toronto,3332,26609352,USR0115,2022-06-08,Active
ACC00095,Dynamic Networks 95,Education,UK,Birmingham,2836,31113756,USR0072,2022-09-16,Active
ACC00096,Bright Industries 96,Education,Canada,Vancouver,1908,11402208,USR0068,2021-02-27,Active
ACC00097,Prime Consulting 97,Automotive,India,Mumbai,1792,21383936,USR0134,2022-02-06,Active
ACC00098,Cloud Group 98,Education,Canada,Toronto,1610,14253330,USR0191,2021-07-20,Active
ACC00099,Vertex Industries 99,Software,USA,Boston,1056,8969664,USR0115,2019-07-06,Active
ACC00100,Infinity Industries 100,Logistics,India,Hyderabad,860,3612000,USR0191,2022-03-10,Active
ACC00101,Digital Networks 101,Healthcare,Canada,Toronto,440,3579840,USR0191,2024-05-10,Active
ACC00102,Global Enterprises 102,Finance,Germany,Berlin,4746,67924752,USR0134,2019-08-08,Active
ACC00103,Next Group 103,Automotive,Canada,Toronto,2053,12194820,USR0115,2023-09-01,Active
ACC00104,Fusion Group 104,Manufacturing,India,Chennai,3136,35690816,USR0024,2023-12-19,Active
ACC00105,Rapid Enterprises 105,Retail,Canada,Montreal,513,7175844,USR0024,2020-02-11,Active
ACC00106,Vision Industries 106,Finance,USA,Chicago,1984,13584448,USR0068,2019-11-04,Active
ACC00107,Apex Enterprises 107,Software,Germany,Hamburg,4884,57137916,USR0134,2022-04-07,Active
ACC00108,Quantum Industries 108,Manufacturing,Canada,Montreal,3739,19315674,USR0113,2021-08-14,Active
ACC00109,Rapid Software 109,Manufacturing,Germany,Berlin,4481,34427523,USR0115,2020-09-02,Active
ACC00110,Next Solutions 110,Logistics,USA,Chicago,2539,34908711,USR0103,2022-03-28,Active
ACC00111,Prime Networks 111,Insurance,Canada,Montreal,3317,28061820,USR0068,2024-08-11,Active
ACC00112,Digital Networks 112,Automotive,USA,Boston,346,3832988,USR0134,2022-08-13,Active
ACC00113,Future Technologies 113,Manufacturing,USA,Chicago,4732,64445108,USR0068,2019-03-26,Active
ACC00114,Rapid Technologies 114,Manufacturing,India,Hyderabad,4271,62672654,USR0134,2023-12-17,Active
ACC00115,Vertex Group 115,Education,Germany,Hamburg,4048,22239712,USR0134,2024-04-09,Active
ACC00116,Smart Corporation 116,Telecom,Canada,Montreal,876,5811384,USR0115,2022-09-12,Active
ACC00117,Digital Industries 117,Education,Germany,Hamburg,320,3664320,USR0113,2019-12-27,Active
ACC00118,Future Corporation 118,Telecom,USA,Seattle,4235,17016230,USR0072,2024-03-07,Active
ACC00119,Blue Software 119,Software,UK,Manchester,4103,58451338,USR0191,2023-12-16,Active
ACC00120,Vision Industries 120,Healthcare,UK,London,2379,26592462,USR0113,2024-06-08,Active
ACC00121,Apex Group 121,Insurance,India,Mumbai,2565,33406560,USR0191,2019-02-26,Active
ACC00122,Smart Solutions 122,Logistics,India,Pune,3800,22511200,USR0039,2020-09-22,Active
ACC00123,Nova Consulting 123,Logistics,Canada,Vancouver,3972,46615392,USR0024,2021-09-25,Active
ACC00124,Infinity Systems 124,Healthcare,Germany,Berlin,4930,60772110,USR0113,2020-07-13,Active
ACC00125,Future Enterprises 125,Manufacturing,Canada,Montreal,2208,8924736,USR0115,2022-03-04,Active
ACC00126,Rapid Group 126,Education,Germany,Berlin,3678,47166672,USR0072,2024-06-06,Active
ACC00127,United Consulting 127,Retail,UK,Manchester,3750,34770000,USR0115,2021-02-11,Active
ACC00128,Rapid Enterprises 128,Telecom,India,Hyderabad,377,3473301,USR0113,2024-04-21,Active
ACC00129,Elite Systems 129,Healthcare,Germany,Berlin,1054,12889366,USR0113,2022-09-21,Active
ACC00130,Bright Solutions 130,Finance,UK,Manchester,145,922345,USR0134,2023-08-07,Active
ACC00131,Global Networks 131,Education,Canada,Vancouver,3276,47980296,USR0134,2019-11-25,Active
ACC00132,Infinity Enterprises 132,Automotive,Canada,Montreal,4017,51674688,USR0134,2019-05-28,Active
ACC00133,Global Software 133,Healthcare,Canada,Toronto,760,8443600,USR0191,2020-02-08,Active
ACC00134,Bright Systems 134,Manufacturing,Canada,Toronto,396,3688344,USR0039,2019-08-18,Active
ACC00135,Dynamic Corporation 135,Automotive,Germany,Berlin,2020,25658040,USR0115,2023-08-15,Active
ACC00136,Vertex Systems 136,Logistics,India,Pune,3153,44624409,USR0103,2021-09-13,Active
ACC00137,Rapid Systems 137,Software,India,Hyderabad,2100,24210900,USR0191,2021-11-11,Active
ACC00138,Bright Industries 138,Automotive,UK,London,625,7023125,USR0191,2022-11-16,Active
ACC00139,Nova Enterprises 139,Logistics,Canada,Vancouver,2494,18113922,USR0115,2023-04-25,Active
ACC00140,Prime Software 140,Manufacturing,Germany,Hamburg,2960,39714320,USR0068,2022-04-26,Active
ACC00141,Apex Enterprises 141,Manufacturing,Canada,Toronto,4656,22362768,USR0113,2024-07-27,Active
ACC00142,Quantum Group 142,Finance,Canada,Toronto,1577,22349244,USR0039,2021-10-23,Active
ACC00143,Prime Technologies 143,Finance,Canada,Vancouver,293,3954035,USR0039,2023-02-03,Active
ACC00144,Global Industries 144,Finance,Canada,Montreal,3423,23539971,USR0134,2021-04-02,Active
ACC00145,Infinity Corporation 145,Logistics,UK,Birmingham,2252,15077140,USR0191,2021-11-18,Active
ACC00146,Nova Corporation 146,Telecom,USA,Seattle,636,4010616,USR0115,2021-07-13,Active
ACC00147,Infinity Corporation 147,Healthcare,USA,Seattle,134,1116488,USR0103,2025-01-06,Active
ACC00148,Bright Corporation 148,Healthcare,Canada,Montreal,3141,45422001,USR0068,2023-03-02,Active
ACC00149,Quantum Networks 149,Healthcare,USA,Boston,4619,43298506,USR0113,2021-06-25,Active
ACC00150,Bright Industries 150,Manufacturing,Germany,Berlin,1165,5524430,USR0103,2019-06-02,Active
ACC00151,Digital Solutions 151,Logistics,USA,Chicago,4423,27519906,USR0103,2023-05-11,Active
ACC00152,Dynamic Consulting 152,Logistics,Germany,Hamburg,1285,13874145,USR0113,2020-02-10,Active
ACC00153,Fusion Enterprises 153,Logistics,Canada,Toronto,3055,23092745,USR0039,2023-12-22,Active
ACC00154,Quantum Corporation 154,Software,USA,Dallas,4480,65246720,USR0191,2023-01-09,Active
ACC00155,Elite Industries 155,Automotive,India,Pune,3745,20601245,USR0068,2021-05-18,Active
ACC00156,Apex Technologies 156,Healthcare,Canada,Toronto,1051,13925750,USR0024,2021-04-20,Active
ACC00157,Infinity Software 157,Automotive,UK,London,1928,18090424,USR0191,2020-08-27,Active
ACC00158,Apex Industries 158,Healthcare,India,Mumbai,4445,36031170,USR0072,2020-12-15,Active
ACC00159,Apex Systems 159,Software,USA,Dallas,1969,26870943,USR0134,2022-08-19,Active
ACC00160,Vertex Industries 160,Healthcare,USA,Chicago,3468,43762692,USR0191,2020-04-10,Active
ACC00161,Digital Networks 161,Insurance,Canada,Montreal,4883,28253038,USR0191,2024-01-26,Active
ACC00162,Quantum Group 162,Software,USA,Boston,2490,28644960,USR0103,2019-05-08,Active
ACC00163,Digital Enterprises 163,Healthcare,Germany,Hamburg,904,10876928,USR0039,2023-12-22,Active
ACC00164,Global Corporation 164,Automotive,UK,London,558,3385386,USR0191,2022-01-31,Active
ACC00165,Rapid Consulting 165,Logistics,Canada,Vancouver,4913,62355796,USR0068,2022-04-22,Active
ACC00166,Cloud Group 166,Telecom,Germany,Berlin,957,14092782,USR0024,2021-05-30,Active
ACC00167,Bright Software 167,Healthcare,Germany,Munich,3735,39337020,USR0191,2023-08-31,Active
ACC00168,United Enterprises 168,Logistics,Canada,Montreal,2108,21358256,USR0039,2020-09-17,Active
ACC00169,Global Solutions 169,Finance,USA,New York,3557,19855174,USR0134,2023-03-07,Active
ACC00170,Infinity Technologies 170,Telecom,UK,Birmingham,4621,43437400,USR0191,2020-05-15,Active
ACC00171,Dynamic Enterprises 171,Healthcare,USA,Dallas,4938,45029622,USR0072,2022-12-11,Active
ACC00172,Rapid Consulting 172,Education,India,Mumbai,3970,30465780,USR0072,2020-03-19,Active
ACC00173,Infinity Corporation 173,Insurance,USA,Dallas,4723,36390715,USR0113,2023-10-24,Active
ACC00174,Fusion Group 174,Manufacturing,UK,London,2210,9887540,USR0068,2021-01-08,Active
ACC00175,Nova Corporation 175,Healthcare,Canada,Toronto,1506,9558582,USR0115,2023-06-30,Active
ACC00176,Next Technologies 176,Logistics,USA,Boston,1782,18110466,USR0072,2023-09-16,Active
ACC00177,United Systems 177,Software,Canada,Vancouver,2677,35601423,USR0113,2019-12-14,Active
ACC00178,Next Systems 178,Telecom,UK,London,688,5819104,USR0072,2023-12-20,Active
ACC00179,Digital Group 179,Healthcare,Germany,Munich,2257,16997467,USR0072,2024-09-29,Active
ACC00180,Dynamic Enterprises 180,Manufacturing,USA,Dallas,4878,58399416,USR0115,2024-11-28,Active
ACC00181,Blue Software 181,Manufacturing,Germany,Hamburg,468,1930500,USR0072,2021-04-17,Active
ACC00182,Vision Systems 182,Logistics,Canada,Vancouver,2707,16147255,USR0039,2019-02-01,Active
ACC00183,Smart Systems 183,Insurance,India,Hyderabad,4382,34048140,USR0191,2024-08-11,Active
ACC00184,Dynamic Solutions 184,Logistics,Germany,Hamburg,366,4079802,USR0134,2019-03-18,Active
ACC00185,Global Corporation 185,Manufacturing,UK,Manchester,4717,50122842,USR0039,2023-09-07,Active
ACC00186,Prime Enterprises 186,Education,USA,Dallas,1427,20159229,USR0134,2024-02-28,Active
ACC00187,Global Enterprises 187,Insurance,USA,Chicago,3589,48982672,USR0068,2023-06-29,Active
ACC00188,Global Enterprises 188,Finance,Canada,Montreal,2801,21371630,USR0191,2022-09-26,Active
ACC00189,Global Consulting 189,Education,USA,Boston,4197,30117672,USR0039,2022-12-02,Active
ACC00190,Next Software 190,Automotive,USA,Chicago,2116,15302912,USR0115,2020-12-11,Active
ACC00191,Next Solutions 191,Automotive,India,Hyderabad,3820,50561520,USR0072,2024-01-13,Active
ACC00192,Fusion Corporation 192,Logistics,Canada,Toronto,3622,18537396,USR0068,2024-04-04,Active
ACC00193,Nova Industries 193,Manufacturing,UK,London,2903,35741736,USR0113,2019-10-31,Active
ACC00194,Bright Networks 194,Healthcare,USA,New York,3040,26457120,USR0072,2019-11-11,Active
ACC00195,Fusion Group 195,Logistics,UK,Manchester,3810,51465480,USR0113,2019-06-18,Active
ACC00196,Rapid Software 196,Software,Canada,Montreal,3916,47830024,USR0068,2020-09-09,Active
ACC00197,Bright Solutions 197,Software,Canada,Montreal,710,8708860,USR0068,2020-12-07,Active
ACC00198,Quantum Networks 198,Education,Germany,Hamburg,4302,60189282,USR0024,2020-10-12,Active
ACC00199,Dynamic Industries 199,Education,Germany,Munich,2791,38501845,USR0103,2019-08-03,Active
ACC00200,Global Corporation 200,Automotive,USA,Boston,3186,27574830,USR0113,2021-10-29,Active
ACC00201,Next Corporation 201,Telecom,USA,Boston,1178,11463118,USR0024,2022-06-24,Active
ACC00202,Next Group 202,Finance,USA,Dallas,4598,46766258,USR0072,2022-09-07,Active
ACC00203,Cloud Solutions 203,Manufacturing,Germany,Hamburg,2984,12825232,USR0039,2023-01-25,Active
ACC00204,Vertex Software 204,Finance,Canada,Vancouver,1592,12275912,USR0103,2020-07-17,Active
ACC00205,Global Industries 205,Education,USA,Boston,4441,56072066,USR0024,2019-06-04,Active
ACC00206,Fusion Systems 206,Automotive,UK,Manchester,1283,8542214,USR0039,2021-01-10,Active
ACC00207,Vertex Networks 207,Automotive,USA,Seattle,3004,23704564,USR0134,2023-12-25,Active
ACC00208,Nova Networks 208,Retail,India,Chennai,1979,17949530,USR0039,2024-04-05,Active
ACC00209,Dynamic Group 209,Insurance,Germany,Munich,2328,23875968,USR0024,2024-08-21,Active
ACC00210,Smart Systems 210,Logistics,India,Chennai,1153,9334688,USR0068,2019-08-02,Active
ACC00211,Dynamic Consulting 211,Finance,USA,Boston,1041,9025470,USR0072,2019-12-10,Active
ACC00212,Future Networks 212,Logistics,UK,London,3603,19823706,USR0024,2021-06-28,Active
ACC00213,Dynamic Technologies 213,Retail,Germany,Berlin,3267,39935808,USR0115,2023-03-12,Active
ACC00214,Elite Solutions 214,Education,Canada,Toronto,250,2305250,USR0039,2020-02-10,Active
ACC00215,Next Systems 215,Logistics,USA,Dallas,3890,24401970,USR0072,2024-04-05,Active
ACC00216,Fusion Technologies 216,Insurance,USA,New York,2116,15939828,USR0024,2020-09-04,Active
ACC00217,Fusion Consulting 217,Healthcare,Germany,Berlin,2380,18785340,USR0113,2022-05-18,Active
ACC00218,Blue Software 218,Logistics,Germany,Hamburg,3764,18929156,USR0039,2020-03-30,Active
ACC00219,Fusion Consulting 219,Manufacturing,USA,Boston,4730,37664990,USR0115,2020-08-11,Active
ACC00220,Smart Technologies 220,Finance,UK,Manchester,1990,26564510,USR0103,2023-09-03,Active
ACC00221,Global Consulting 221,Insurance,Canada,Toronto,4329,55904706,USR0039,2024-09-09,Active
ACC00222,Infinity Technologies 222,Education,Germany,Munich,376,5419664,USR0115,2023-05-04,Active
ACC00223,Future Technologies 223,Automotive,Canada,Toronto,2844,22609800,USR0068,2020-02-29,Active
ACC00224,United Systems 224,Logistics,USA,Dallas,4492,42880632,USR0113,2020-12-18,Active
ACC00225,Digital Systems 225,Retail,India,Pune,3769,17356245,USR0113,2022-04-16,Active
ACC00226,Blue Software 226,Insurance,USA,Dallas,2560,31856640,USR0191,2023-06-20,Active
ACC00227,Digital Industries 227,Education,USA,Chicago,2363,23270824,USR0103,2019-07-15,Active
ACC00228,Future Solutions 228,Education,Canada,Vancouver,3296,36928384,USR0115,2023-05-03,Active
ACC00229,Vertex Networks 229,Telecom,Germany,Munich,4273,35760737,USR0115,2019-12-05,Active
ACC00230,Global Enterprises 230,Healthcare,UK,London,4488,39552744,USR0103,2022-08-08,Active
ACC00231,Global Corporation 231,Finance,Canada,Vancouver,3672,50941656,USR0072,2023-10-12,Active
ACC00232,Bright Corporation 232,Manufacturing,Germany,Berlin,2908,40924284,USR0072,2023-11-17,Active
ACC00233,Blue Solutions 233,Finance,Germany,Munich,4223,27960483,USR0068,2019-05-08,Active
ACC00234,Fusion Networks 234,Education,USA,Chicago,570,4483620,USR0072,2023-02-09,Active
ACC00235,Elite Group 235,Education,USA,Boston,1276,14509396,USR0039,2023-02-28,Active
ACC00236,Bright Solutions 236,Education,UK,London,4357,43622284,USR0191,2023-06-19,Active
ACC00237,Future Software 237,Telecom,USA,New York,1544,18799744,USR0191,2024-10-21,Active
ACC00238,Infinity Solutions 238,Logistics,Canada,Vancouver,3675,27617625,USR0191,2022-03-15,Active
ACC00239,Vision Solutions 239,Healthcare,India,Pune,3723,25420644,USR0072,2023-12-29,Active
ACC00240,United Corporation 240,Finance,USA,Boston,4461,39064977,USR0115,2022-05-13,Active
ACC00241,Vertex Corporation 241,Retail,UK,London,1014,7394088,USR0134,2020-07-22,Active
ACC00242,Digital Technologies 242,Insurance,Canada,Montreal,4708,47287152,USR0068,2024-03-29,Active
ACC00243,Next Group 243,Insurance,USA,New York,2553,26865219,USR0068,2024-05-14,Active
ACC00244,Smart Enterprises 244,Logistics,UK,London,1046,9616924,USR0072,2019-10-31,Active
ACC00245,Bright Consulting 245,Finance,Canada,Toronto,4536,65690352,USR0115,2021-01-15,Active
ACC00246,Smart Consulting 246,Finance,USA,New York,4264,27745848,USR0115,2022-05-30,Active
ACC00247,Vertex Corporation 247,Manufacturing,India,Bangalore,4270,36948310,USR0134,2019-11-20,Active
ACC00248,Vision Consulting 248,Healthcare,Canada,Toronto,2500,35165000,USR0039,2024-12-25,Active
ACC00249,Cloud Systems 249,Automotive,UK,Birmingham,1283,8729532,USR0072,2022-10-14,Active
ACC00250,Blue Technologies 250,Automotive,USA,New York,4744,39545984,USR0191,2021-05-13,Active
ACC00251,Smart Group 251,Logistics,USA,Seattle,4489,39256305,USR0103,2022-05-22,Active
ACC00252,Quantum Enterprises 252,Logistics,Canada,Vancouver,617,3073277,USR0115,2020-10-09,Active
ACC00253,Smart Networks 253,Education,Germany,Berlin,2806,39112834,USR0103,2020-08-11,Active
ACC00254,United Corporation 254,Education,Germany,Berlin,3055,37995035,USR0113,2020-03-10,Active
ACC00255,Quantum Networks 255,Healthcare,USA,Dallas,3703,29849883,USR0039,2020-07-31,Active
ACC00256,Blue Industries 256,Education,Germany,Hamburg,3445,27790815,USR0134,2020-10-16,Active
ACC00257,Rapid Corporation 257,Logistics,India,Mumbai,4101,50987733,USR0191,2024-03-27,Active
ACC00258,Nova Networks 258,Retail,USA,New York,3241,39802721,USR0115,2024-02-16,Active
ACC00259,Vision Group 259,Automotive,Canada,Toronto,434,3736306,USR0024,2024-07-20,Active
ACC00260,Digital Industries 260,Manufacturing,UK,London,900,9954000,USR0068,2020-07-02,Active
ACC00261,Dynamic Enterprises 261,Education,Canada,Toronto,3301,15970238,USR0191,2021-03-08,Active
ACC00262,Infinity Industries 262,Automotive,USA,Seattle,4150,47218700,USR0113,2022-02-19,Active
ACC00263,Fusion Solutions 263,Insurance,India,Pune,3246,32830044,USR0115,2022-10-20,Active
ACC00264,Dynamic Systems 264,Software,India,Chennai,4190,44313440,USR0191,2024-08-10,Active
ACC00265,Blue Technologies 265,Finance,India,Bangalore,3900,48781200,USR0134,2024-02-15,Active
ACC00266,Fusion Consulting 266,Automotive,India,Bangalore,2629,17514398,USR0134,2023-05-29,Active
ACC00267,Nova Group 267,Automotive,Canada,Montreal,4195,53364595,USR0191,2024-06-29,Active
ACC00268,Nova Networks 268,Automotive,USA,Dallas,2733,15837735,USR0039,2023-09-03,Active
ACC00269,Nova Technologies 269,Software,UK,Manchester,2195,32356495,USR0115,2021-07-21,Active
ACC00270,Rapid Networks 270,Software,India,Chennai,3134,20123414,USR0191,2021-09-19,Active
ACC00271,Rapid Solutions 271,Finance,India,Pune,3632,33192848,USR0068,2023-09-12,Active
ACC00272,Smart Software 272,Insurance,Germany,Hamburg,3883,19492660,USR0072,2020-07-19,Active
ACC00273,Vision Consulting 273,Education,Canada,Montreal,3938,49654242,USR0068,2023-03-24,Active
ACC00274,Vertex Networks 274,Automotive,UK,Manchester,4495,44068980,USR0134,2021-12-18,Active
ACC00275,Digital Software 275,Manufacturing,India,Bangalore,4591,40813990,USR0024,2021-07-10,Active
ACC00276,Nova Software 276,Manufacturing,Germany,Munich,3950,38370300,USR0113,2022-01-25,Active
