OpportunityID,LeadID,AccountID,AssignedSalesRepID,Stage,Probability,OpportunityAmount,CreatedDate,ExpectedCloseDate
OPP00033,LEAD000082,ACC04443,USR0024,Needs Analysis,35,141716,2022-10-06,2022-11-07
OPP00034,LEAD000083,ACC04212,USR0115,Proposal,50,169722,2022-09-18,2022-10-09
OPP00035,LEAD000087,ACC00881,USR0072,Qualification,20,270229,2022-08-27,2022-10-01
OPP00036,LEAD000090,ACC00102,USR0024,Proposal,50,163606,2022-09-30,2022-12-03
OPP00037,LEAD000092,ACC02718,USR0068,Proposal,50,75407,2022-09-20,2022-12-03
OPP00038,LEAD000096,ACC02071,USR0134,Needs Analysis,35,31633,2022-10-07,2022-12-31
OPP00039,LEAD000097,ACC00719,USR0115,Negotiation,75,150060,2022-08-25,2022-09-23
OPP00040,LEAD000100,ACC01917,USR0134,Negotiation,75,299076,2022-10-11,2022-12-08
OPP00041,LEAD000107,ACC03085,USR0024,Needs Analysis,35,86030,2022-09-18,2022-10-23
OPP00042,LEAD000110,ACC01560,USR0024,Qualification,20,135111,2022-09-29,2022-11-16
OPP00043,LEAD000118,ACC01695,USR0191,Negotiation,75,286131,2022-09-30,2022-12-18
OPP00044,LEAD000120,ACC00460,USR0024,Closed Won,100,25057,2022-09-03,2022-10-26
OPP00045,LEAD000121,ACC03909,USR0024,Negotiation,75,186239,2022-09-11,2022-10-15
OPP00046,LEAD000125,ACC01135,USR0072,Negotiation,75,287303,2022-08-31,2022-11-23
OPP00047,LEAD000127,ACC01604,USR0039,Closed Won,100,70339,2022-09-26,2022-11-21
OPP00048,LEAD000128,ACC01200,USR0024,Qualification,20,219115,2022-09-23,2022-11-23
OPP00049,LEAD000131,ACC01664,USR0191,Needs Analysis,35,96240,2022-09-22,2022-11-06
OPP00050,LEAD000134,ACC02187,USR0113,Qualification,20,173951,2022-09-18,2022-12-04
OPP00051,LEAD000136,ACC00450,USR0191,Closed Lost,0,93967,2022-09-23,2022-12-15
OPP00052,LEAD000138,ACC03247,USR0103,Qualification,20,167749,2022-08-29,2022-11-12
OPP00053,LEAD000142,ACC02549,USR0039,Qualification,20,132918,2022-09-30,2022-12-21
OPP00054,LEAD000143,ACC00824,USR0113,Closed Lost,0,7907,2022-09-11,2022-12-04
OPP00055,LEAD000144,ACC03164,USR0115,Negotiation,75,119735,2022-09-01,2022-11-06
OPP00056,LEAD000145,ACC00278,USR0072,Proposal,50,248557,2022-09-11,2022-12-01
OPP00057,LEAD000146,ACC00744,USR0024,Qualification,20,68626,2022-09-06,2022-10-19
OPP00058,LEAD000148,ACC02451,USR0113,Needs Analysis,35,171355,2022-09-24,2022-12-23
OPP00059,LEAD000149,ACC03916,USR0115,Needs Analysis,35,269649,2022-10-04,2022-11-16
OPP00060,LEAD000150,ACC01181,USR0103,Qualification,20,88444,2022-09-16,2022-10-08
OPP00061,LEAD000152,ACC02280,USR0072,Qualification,20,278311,2022-09-13,2022-10-02
OPP00062,LEAD000153,ACC00985,USR0113,Qualification,20,148968,2022-09-30,2022-11-14
OPP00063,LEAD000159,ACC02558,USR0103,Negotiation,75,222985,2022-09-18,2022-10-30
OPP00064,LEAD000161,ACC03641,USR0072,Qualification,20,15240,2022-09-30,2022-12-27
OPP00065,LEAD000164,ACC01242,USR0103,Needs Analysis,35,291330,2022-09-30,2022-12-14
OPP00066,LEAD000165,ACC02515,USR0103,Qualification,20,148096,2022-09-16,2022-10-13
OPP00067,LEAD000166,ACC00911,USR0191,Needs Analysis,35,208873,2022-09-29,2022-12-05
OPP00068,LEAD000167,ACC00595,USR0068,Closed Won,100,216978,2022-09-24,2022-10-15
OPP00069,LEAD000168,ACC00557,USR0072,Qualification,20,285034,2022-09-02,2022-10-30
OPP00070,LEAD000170,ACC04985,USR0113,Needs Analysis,35,76145,2022-08-28,2022-10-06
OPP00071,LEAD000174,ACC03684,USR0191,Proposal,50,226021,2022-09-23,2022-12-01
OPP00072,LEAD000177,ACC00841,USR0039,Needs Analysis,35,26106,2022-08-29,2022-10-14
OPP00073,LEAD000180,ACC03787,USR0068,Proposal,50,248811,2022-08-29,2022-11-22
OPP00074,LEAD000181,ACC03046,USR0072,Qualification,20,92969,2022-09-08,2022-12-01
OPP00075,LEAD000182,ACC04952,USR0115,Closed Lost,0,90860,2022-08-27,2022-10-11
OPP00076,LEAD000184,ACC04555,USR0113,Proposal,50,201768,2022-09-13,2022-11-28
OPP00077,LEAD000185,ACC03035,USR0191,Closed Won,100,44844,2022-09-20,2022-10-12
OPP00078,LEAD000187,ACC04736,USR0039,Needs Analysis,35,26532,2022-09-01,2022-11-04
OPP00079,LEAD000188,ACC02909,USR0068,Closed Won,100,199285,2022-09-19,2022-12-01
OPP00080,LEAD000189,ACC02975,USR0191,Proposal,50,183903,2022-09-02,2022-11-27
OPP00081,LEAD000193,ACC01980,USR0039,Qualification,20,287157,2022-09-21,2022-11-12
OPP00082,LEAD000194,ACC03262,USR0113,Closed Lost,0,145716,2022-09-25,2022-12-23
OPP00083,LEAD000197,ACC02652,USR0024,Qualification,20,203699,2022-10-12,2022-12-06
OPP00084,LEAD000199,ACC03065,USR0113,Qualification,20,191030,2022-09-01,2022-11-16
OPP00085,LEAD000203,ACC04811,USR0072,Closed Won,100,130998,2022-10-06,2022-12-27
OPP00086,LEAD000204,ACC00731,USR0103,Qualification,20,262331,2022-09-24,2022-12-13
OPP00087,LEAD000207,ACC04181,USR0113,Closed Won,100,198472,2022-09-10,2022-10-03
OPP00088,LEAD000208,ACC04991,USR0072,Negotiation,75,185227,2022-09-21,2022-11-05
OPP00089,LEAD000209,ACC03071,USR0113,Qualification,20,178429,2022-09-28,2022-12-24
OPP00090,LEAD000210,ACC02851,USR0068,Proposal,50,147038,2022-09-18,2022-10-08
OPP00091,LEAD000214,ACC00674,USR0024,Proposal,50,280060,2022-09-08,2022-12-06
OPP00092,LEAD000223,ACC01122,USR0113,Needs Analysis,35,39258,2022-09-21,2022-11-08
OPP00093,LEAD000224,ACC02253,USR0115,Negotiation,75,33106,2022-09-20,2022-11-14
OPP00094,LEAD000227,ACC02575,USR0072,Needs Analysis,35,123325,2022-09-22,2022-10-23
OPP00095,LEAD000229,ACC01912,USR0115,Proposal,50,165107,2022-09-17,2022-10-11
OPP00096,LEAD000230,ACC02922,USR0113,Proposal,50,57026,2022-09-25,2022-12-21
OPP00097,LEAD000231,ACC04374,USR0024,Qualification,20,143750,2022-09-05,2022-10-17
OPP00098,LEAD000236,ACC00917,USR0072,Needs Analysis,35,243043,2022-09-23,2022-11-21
OPP00099,LEAD000237,ACC01086,USR0072,Closed Won,100,143702,2022-08-26,2022-10-27
OPP00100,LEAD000239,ACC03754,USR0134,Qualification,20,144267,2022-09-12,2022-12-05
OPP00101,LEAD000241,ACC00297,USR0024,Negotiation,75,156315,2022-09-17,2022-12-08
OPP00102,LEAD000245,ACC02302,USR0115,Negotiation,75,136264,2022-09-16,2022-12-10
OPP00103,LEAD000247,ACC03472,USR0115,Closed Won,100,96850,2022-09-15,2022-10-13
OPP00104,LEAD000248,ACC00129,USR0103,Needs Analysis,35,236855,2022-09-23,2022-10-21
OPP00105,LEAD000253,ACC03716,USR0113,Qualification,20,293409,2022-09-24,2022-11-14
OPP00106,LEAD000259,ACC04233,USR0115,Negotiation,75,111723,2022-09-23,2022-11-03
OPP00107,LEAD000260,ACC00451,USR0072,Proposal,50,156010,2022-09-14,2022-10-31
OPP00108,LEAD000261,ACC03175,USR0072,Qualification,20,68662,2022-09-18,2022-11-26
OPP00109,LEAD000262,ACC02849,USR0103,Qualification,20,130460,2022-08-29,2022-10-25
OPP00110,LEAD000265,ACC00770,USR0103,Negotiation,75,85725,2022-08-31,2022-10-18
OPP00111,LEAD000266,ACC04999,USR0191,Negotiation,75,271795,2022-09-25,2022-12-19
OPP00112,LEAD000271,ACC03133,USR0115,Proposal,50,6344,2022-09-23,2022-10-22
OPP00113,LEAD000272,ACC00210,USR0024,Closed Won,100,261712,2022-09-09,2022-10-13
OPP00114,LEAD000276,ACC03417,USR0191,Qualification,20,127453,2022-09-21,2022-11-22
OPP00115,LEAD000281,ACC01309,USR0103,Qualification,20,13046,2022-09-12,2022-10-13
OPP00116,LEAD000283,ACC00964,USR0103,Needs Analysis,35,143948,2022-08-25,2022-09-14
OPP00117,LEAD000284,ACC04619,USR0039,Needs Analysis,35,213395,2022-09-21,2022-11-06
OPP00118,LEAD000288,ACC04749,USR0103,Needs Analysis,35,155669,2022-09-07,2022-12-02
OPP00119,LEAD000289,ACC00882,USR0024,Closed Lost,0,232526,2022-09-16,2022-10-20
OPP00120,LEAD000290,ACC04701,USR0103,Closed Won,100,57694,2022-09-02,2022-10-09
OPP00121,LEAD000295,ACC03571,USR0134,Qualification,20,99401,2022-10-08,2022-12-04
OPP00122,LEAD000297,ACC02709,USR0115,Closed Won,100,80034,2022-09-17,2022-11-02
OPP00123,LEAD000298,ACC04416,USR0191,Qualification,20,138157,2022-09-11,2022-10-09
OPP00124,LEAD000302,ACC04872,USR0113,Closed Won,100,136123,2022-09-20,2022-12-04
OPP00125,LEAD000310,ACC00073,USR0191,Qualification,20,76711,2022-09-12,2022-11-24
OPP00126,LEAD000311,ACC04009,USR0024,Needs Analysis,35,25668,2022-09-06,2022-10-20
OPP00127,LEAD000317,ACC04671,USR0024,Qualification,20,182584,2022-09-14,2022-10-23
OPP00128,LEAD000318,ACC01071,USR0068,Needs Analysis,35,78797,2022-09-08,2022-10-01
OPP00129,LEAD000319,ACC01791,USR0113,Needs Analysis,35,213358,2022-09-11,2022-11-30
OPP00130,LEAD000323,ACC00458,USR0103,Negotiation,75,61804,2022-09-25,2022-12-17
OPP00131,LEAD000324,ACC02541,USR0115,Closed Won,100,299339,2022-09-13,2022-10-12
OPP00132,LEAD000325,ACC04824,USR0068,Qualification,20,38143,2022-09-17,2022-11-04
OPP00133,LEAD000326,ACC04559,USR0072,Qualification,20,219064,2022-09-19,2022-11-28
OPP00134,LEAD000328,ACC03188,USR0072,Negotiation,75,55956,2022-09-19,2022-11-13
OPP00135,LEAD000329,ACC04918,USR0024,Negotiation,75,208762,2022-09-17,2022-12-06
OPP00136,LEAD000331,ACC02092,USR0024,Needs Analysis,35,86014,2022-09-18,2022-12-15
OPP00137,LEAD000332,ACC02916,USR0024,Needs Analysis,35,261558,2022-09-21,2022-11-30
OPP00138,LEAD000336,ACC04912,USR0068,Proposal,50,36745,2022-09-23,2022-12-15
OPP00139,LEAD000341,ACC02573,USR0115,Needs Analysis,35,113610,2022-08-30,2022-09-22
OPP00140,LEAD000344,ACC00084,USR0103,Negotiation,75,96486,2022-09-07,2022-10-07
OPP00141,LEAD000345,ACC03239,USR0113,Proposal,50,18516,2022-09-05,2022-11-11
OPP00142,LEAD000351,ACC03528,USR0024,Proposal,50,241981,2022-10-01,2022-11-22
OPP00143,LEAD000354,ACC03033,USR0115,Qualification,20,215563,2022-09-09,2022-11-16
OPP00144,LEAD000355,ACC01987,USR0191,Negotiation,75,262042,2022-09-28,2022-11-04
OPP00145,LEAD000358,ACC01514,USR0039,Proposal,50,204703,2022-10-03,2022-10-18
OPP00146,LEAD000361,ACC04922,USR0113,Needs Analysis,35,117734,2022-10-03,2022-12-12
OPP00147,LEAD000368,ACC01915,USR0068,Proposal,50,299433,2022-09-07,2022-11-17
OPP00148,LEAD000377,ACC03955,USR0134,Proposal,50,296891,2022-09-30,2022-11-05
OPP00149,LEAD000378,ACC04317,USR0113,Needs Analysis,35,145219,2022-08-23,2022-10-19
OPP00150,LEAD000381,ACC00693,USR0068,Closed Won,100,215126,2022-08-31,2022-10-15
OPP00151,LEAD000383,ACC03204,USR0113,Needs Analysis,35,117791,2022-09-03,2022-10-13
OPP00152,LEAD000386,ACC00827,USR0191,Qualification,20,32582,2024-06-26,2024-08-11
OPP00153,LEAD000389,ACC01050,USR0115,Negotiation,75,222151,2024-07-02,2024-07-26
OPP00154,LEAD000392,ACC03549,USR0103,Proposal,50,260135,2024-06-18,2024-09-14
OPP00155,LEAD000393,ACC04575,USR0072,Negotiation,75,28811,2024-06-25,2024-08-28
OPP00156,LEAD000396,ACC01925,USR0068,Needs Analysis,35,156753,2024-06-09,2024-07-12
OPP00157,LEAD000399,ACC00262,USR0115,Closed Won,100,267281,2024-06-20,2024-07-18
OPP00158,LEAD000400,ACC01334,USR0134,Needs Analysis,35,190685,2024-07-04,2024-09-23
OPP00159,LEAD000403,ACC01465,USR0103,Qualification,20,217034,2024-06-20,2024-08-05
OPP00160,LEAD000410,ACC00528,USR0113,Proposal,50,64782,2024-05-24,2024-08-06
OPP00161,LEAD000411,ACC00118,USR0072,Closed Lost,0,188173,2024-07-05,2024-08-29
OPP00162,LEAD000412,ACC04717,USR0072,Negotiation,75,82432,2024-06-22,2024-09-09
OPP00163,LEAD000416,ACC03581,USR0134,Closed Won,100,240355,2024-06-28,2024-09-21
OPP00164,LEAD000417,ACC02177,USR0039,Closed Won,100,174454,2024-07-06,2024-09-19
OPP00165,LEAD000420,ACC00950,USR0134,Needs Analysis,35,189519,2024-06-17,2024-08-02
OPP00166,LEAD000424,ACC04389,USR0103,Negotiation,75,247594,2024-07-02,2024-09-21
OPP00167,LEAD000425,ACC00826,USR0115,Negotiation,75,26507,2024-07-08,2024-08-27
OPP00168,LEAD000426,ACC01459,USR0072,Qualification,20,103691,2024-06-28,2024-08-18
OPP00169,LEAD000427,ACC04787,USR0072,Needs Analysis,35,267860,2024-06-13,2024-08-07
OPP00170,LEAD000429,ACC02072,USR0024,Qualification,20,269528,2024-06-24,2024-07-28
OPP00171,LEAD000431,ACC00506,USR0072,Needs Analysis,35,88228,2024-06-21,2024-07-25
OPP00172,LEAD000433,ACC00968,USR0191,Qualification,20,32454,2024-06-18,2024-08-24
OPP00173,LEAD000435,ACC02203,USR0068,Proposal,50,153974,2024-07-01,2024-09-07
OPP00174,LEAD000436,ACC02479,USR0134,Needs Analysis,35,83838,2024-06-03,2024-08-10
OPP00175,LEAD000439,ACC00866,USR0191,Closed Won,100,49417,2024-06-06,2024-09-03
OPP00176,LEAD000440,ACC03758,USR0072,Closed Won,100,177216,2024-06-05,2024-09-01
OPP00177,LEAD000441,ACC01555,USR0068,Proposal,50,280981,2024-06-06,2024-08-05
OPP00178,LEAD000442,ACC01535,USR0039,Negotiation,75,226986,2024-05-31,2024-08-07
OPP00179,LEAD000447,ACC01509,USR0113,Negotiation,75,281054,2024-07-05,2024-09-27
OPP00180,LEAD000448,ACC04301,USR0103,Proposal,50,73707,2024-05-26,2024-07-14
OPP00181,LEAD000450,ACC02548,USR0113,Proposal,50,91790,2024-06-10,2024-08-13
OPP00182,LEAD000454,ACC04960,USR0134,Negotiation,75,106720,2024-06-15,2024-08-20
OPP00183,LEAD000455,ACC01721,USR0039,Closed Won,100,235999,2024-06-14,2024-07-15
OPP00184,LEAD000456,ACC00957,USR0072,Qualification,20,205211,2024-07-02,2024-09-05
OPP00185,LEAD000457,ACC01860,USR0103,Qualification,20,89965,2024-06-18,2024-08-26
OPP00186,LEAD000458,ACC03294,USR0103,Closed Won,100,136073,2024-06-02,2024-07-10
OPP00187,LEAD000459,ACC00980,USR0072,Needs Analysis,35,199622,2024-05-21,2024-07-16
OPP00188,LEAD000465,ACC00537,USR0039,Proposal,50,128615,2024-06-17,2024-08-14
OPP00189,LEAD000469,ACC04069,USR0068,Needs Analysis,35,77767,2024-06-28,2024-09-04
OPP00190,LEAD000472,ACC04861,USR0103,Closed Won,100,281704,2024-06-03,2024-08-17
OPP00191,LEAD000477,ACC02753,USR0113,Negotiation,75,275205,2024-06-24,2024-07-15
OPP00192,LEAD000480,ACC01081,USR0068,Needs Analysis,35,103206,2024-06-12,2024-07-05
OPP00193,LEAD000481,ACC02315,USR0191,Negotiation,75,40483,2024-05-23,2024-07-08
OPP00194,LEAD000482,ACC04463,USR0191,Closed Won,100,271140,2024-06-25,2024-07-29
OPP00195,LEAD000484,ACC00037,USR0134,Qualification,20,200717,2024-05-26,2024-06-24
OPP00196,LEAD000485,ACC02732,USR0115,Proposal,50,192220,2024-06-08,2024-07-25
OPP00197,LEAD000487,ACC00455,USR0103,Qualification,20,179335,2024-07-04,2024-08-02
OPP00198,LEAD000489,ACC03919,USR0113,Closed Lost,0,248596,2024-06-12,2024-07-10
OPP00199,LEAD000490,ACC04395,USR0113,Closed Won,100,75701,2024-06-16,2024-09-12
OPP00200,LEAD000491,ACC03680,USR0068,Needs Analysis,35,244955,2024-06-02,2024-07-12
OPP00201,LEAD000506,ACC04059,USR0113,Proposal,50,189311,2024-05-29,2024-07-14
OPP00202,LEAD000509,ACC01374,USR0134,Negotiation,75,217971,2024-05-24,2024-07-16
OPP00203,LEAD000510,ACC01026,USR0039,Negotiation,75,88879,2024-06-12,2024-09-07
OPP00204,LEAD000519,ACC04752,USR0024,Needs Analysis,35,299478,2024-06-18,2024-08-26
OPP00205,LEAD000524,ACC00231,USR0115,Qualification,20,172556,2024-06-02,2024-07-30
OPP00206,LEAD000525,ACC04018,USR0134,Closed Won,100,293356,2024-06-08,2024-08-24
OPP00207,LEAD000529,ACC02578,USR0103,Proposal,50,194213,2024-06-04,2024-08-04
OPP00208,LEAD000530,ACC03530,USR0039,Negotiation,75,250055,2024-07-05,2024-09-13
OPP00209,LEAD000538,ACC01913,USR0115,Negotiation,75,34052,2024-06-18,2024-08-06
OPP00210,LEAD000539,ACC03867,USR0191,Negotiation,75,164448,2024-06-10,2024-08-23
OPP00211,LEAD000541,ACC02962,USR0103,Closed Won,100,46345,2024-06-21,2024-09-19
OPP00212,LEAD000545,ACC00469,USR0191,Needs Analysis,35,94758,2024-07-01,2024-08-16
OPP00213,LEAD000548,ACC02359,USR0024,Needs Analysis,35,223411,2024-06-01,2024-08-12
OPP00214,LEAD000549,ACC00114,USR0103,Negotiation,75,291039,2024-05-25,2024-08-20
OPP00215,LEAD000550,ACC02097,USR0113,Needs Analysis,35,258202,2024-06-16,2024-09-02
OPP00216,LEAD000551,ACC03816,USR0115,Qualification,20,160941,2024-06-11,2024-07-23
OPP00217,LEAD000555,ACC04038,USR0113,Negotiation,75,186073,2024-06-17,2024-08-14
OPP00218,LEAD000557,ACC00905,USR0068,Closed Won,100,172308,2024-06-26,2024-08-15
OPP00219,LEAD000558,ACC03667,USR0072,Qualification,20,145232,2024-06-18,2024-07-27
OPP00220,LEAD000562,ACC00164,USR0039,Needs Analysis,35,104527,2024-06-24,2024-08-30
OPP00221,LEAD000563,ACC00469,USR0113,Proposal,50,249745,2024-06-11,2024-07-26
OPP00222,LEAD000568,ACC00953,USR0191,Negotiation,75,251723,2024-07-09,2024-09-24
OPP00223,LEAD000569,ACC04291,USR0134,Negotiation,75,61359,2024-06-18,2024-07-14
OPP00224,LEAD000572,ACC04427,USR0072,Needs Analysis,35,107055,2024-05-29,2024-07-14
OPP00225,LEAD000573,ACC00942,USR0115,Negotiation,75,43551,2024-06-18,2024-08-19
OPP00226,LEAD000574,ACC03241,USR0103,Proposal,50,293283,2024-06-25,2024-08-23
OPP00227,LEAD000575,ACC04385,USR0024,Closed Lost,0,67291,2024-06-16,2024-09-09
OPP00228,LEAD000577,ACC00084,USR0134,Needs Analysis,35,80637,2024-06-17,2024-08-29
OPP00229,LEAD000578,ACC04984,USR0103,Needs Analysis,35,215442,2024-06-06,2024-07-20
OPP00230,LEAD000580,ACC03115,USR0039,Negotiation,75,253378,2024-05-28,2024-07-22
OPP00231,LEAD000585,ACC04967,USR0115,Negotiation,75,162176,2024-06-23,2024-07-31
OPP00232,LEAD000588,ACC04136,USR0072,Needs Analysis,35,144214,2024-05-24,2024-08-08
OPP00233,LEAD000589,ACC02911,USR0068,Negotiation,75,31924,2024-07-01,2024-09-21
OPP00234,LEAD000590,ACC02403,USR0115,Closed Lost,0,279848,2024-07-02,2024-08-10
OPP00235,LEAD000591,ACC02423,USR0113,Needs Analysis,35,21552,2024-08-26,2024-10-02
OPP00236,LEAD000592,ACC00820,USR0024,Qualification,20,105025,2024-12-13,2025-03-06
OPP00237,LEAD000595,ACC03024,USR0039,Needs Analysis,35,252257,2024-10-28,2024-11-18
OPP00238,LEAD000596,ACC00481,USR0024,Needs Analysis,35,276939,2024-08-12,2024-09-12
OPP00239,LEAD000597,ACC04702,USR0115,Qualification,20,255804,2024-09-17,2024-10-03
OPP00240,LEAD000599,ACC01020,USR0039,Proposal,50,291404,2024-11-14,2025-01-24
OPP00241,LEAD000600,ACC01157,USR0115,Qualification,20,143601,2024-10-19,2024-11-09
OPP00242,LEAD000601,ACC02135,USR0115,Closed Won,100,134247,2024-12-22,2025-03-08
OPP00243,LEAD000602,ACC01322,USR0191,Closed Won,100,122895,2024-09-23,2024-11-28
OPP00244,LEAD000603,ACC00842,USR0072,Qualification,20,113673,2024-10-10,2024-10-31
OPP00245,LEAD000604,ACC01405,USR0072,Qualification,20,171220,2025-01-07,2025-04-04
OPP00246,LEAD000611,ACC04236,USR0068,Qualification,20,147407,2024-09-27,2024-11-12
OPP00247,LEAD000614,ACC01009,USR0191,Proposal,50,32520,2024-09-09,2024-11-16
OPP00248,LEAD000616,ACC02835,USR0068,Negotiation,75,77072,2024-08-12,2024-10-14
OPP00249,LEAD000617,ACC03216,USR0191,Closed Won,100,218336,2024-07-26,2024-09-17
OPP00250,LEAD000618,ACC00413,USR0113,Needs Analysis,35,109572,2025-01-07,2025-01-29
OPP00251,LEAD000620,ACC04439,USR0103,Closed Won,100,126750,2024-08-05,2024-09-15
OPP00252,LEAD000621,ACC01626,USR0134,Needs Analysis,35,24555,2024-11-30,2024-12-25
OPP00253,LEAD000624,ACC02194,USR0134,Needs Analysis,35,156764,2024-09-01,2024-11-25
OPP00254,LEAD000627,ACC03940,USR0024,Qualification,20,269352,2024-11-24,2025-01-30
OPP00255,LEAD000631,ACC03250,USR0115,Negotiation,75,159677,2024-07-28,2024-10-11
OPP00256,LEAD000632,ACC04436,USR0068,Qualification,20,106272,2024-12-12,2025-02-01
OPP00257,LEAD000633,ACC04627,USR0103,Negotiation,75,217593,2024-09-02,2024-11-14
OPP00258,LEAD000634,ACC01997,USR0103,Negotiation,75,50475,2024-10-30,2024-12-17
OPP00259,LEAD000635,ACC03400,USR0115,Proposal,50,101878,2024-10-27,2025-01-19
OPP00260,LEAD000636,ACC02193,USR0039,Negotiation,75,135048,2024-08-22,2024-10-10
OPP00261,LEAD000638,ACC04217,USR0191,Qualification,20,177818,2024-11-06,2024-12-12
OPP00262,LEAD000639,ACC01592,USR0039,Proposal,50,10995,2024-10-05,2024-12-31
OPP00263,LEAD000640,ACC01488,USR0191,Proposal,50,128890,2024-09-24,2024-12-07
OPP00264,LEAD000641,ACC00947,USR0024,Negotiation,75,249001,2024-08-04,2024-09-22
OPP00265,LEAD000643,ACC03451,USR0113,Proposal,50,66559,2025-01-23,2025-04-04
OPP00266,LEAD000646,ACC02899,USR0068,Proposal,50,200887,2024-11-06,2025-01-15
OPP00267,LEAD000647,ACC04393,USR0072,Negotiation,75,251849,2024-11-04,2024-11-22
OPP00268,LEAD000648,ACC00899,USR0039,Needs Analysis,35,119510,2024-11-27,2025-02-23
OPP00269,LEAD000649,ACC03334,USR0039,Closed Lost,0,47923,2024-09-12,2024-10-31
OPP00270,LEAD000651,ACC04434,USR0024,Negotiation,75,37379,2024-07-31,2024-09-06
OPP00271,LEAD000652,ACC00530,USR0115,Proposal,50,286364,2024-12-13,2025-02-22
OPP00272,LEAD000655,ACC04378,USR0191,Qualification,20,272583,2024-12-15,2025-03-14
OPP00273,LEAD000658,ACC02063,USR0134,Negotiation,75,166569,2024-12-14,2025-03-01
OPP00274,LEAD000660,ACC01271,USR0072,Proposal,50,28744,2024-09-06,2024-11-12
OPP00275,LEAD000664,ACC03844,USR0072,Needs Analysis,35,225390,2024-08-24,2024-09-21
OPP00276,LEAD000667,ACC00184,USR0072,Needs Analysis,35,187331,2024-08-19,2024-11-05
OPP00277,LEAD000670,ACC03316,USR0068,Negotiation,75,161428,2024-07-20,2024-09-24
OPP00278,LEAD000671,ACC01121,USR0103,Qualification,20,290446,2024-11-23,2024-12-19
OPP00279,LEAD000672,ACC02416,USR0068,Needs Analysis,35,125410,2024-11-06,2024-12-05
OPP00280,LEAD000675,ACC03452,USR0103,Closed Won,100,13202,2024-07-31,2024-08-15
OPP00281,LEAD000678,ACC04703,USR0024,Proposal,50,215902,2024-09-28,2024-10-19
OPP00282,LEAD000681,ACC02090,USR0115,Proposal,50,172197,2024-09-14,2024-12-01
